ID,Source,Price,Currency,Carrier,Departure Date,Return Date,Stops,Flight Numbers,Stations,Departure Times,Arrival Times
1,GDS,2140.05,BRL,LATAM AIRLINES GROUP,2023-06-09,2023-06-20,2,"3711, 3262, 3216","BVB, BSB, GRU","2023-06-09T01:25:00, 2023-06-09T06:35:00, 2023-06-09T17:40:00","2023-06-20T11:15:00, 2023-06-20T13:45:00, 2023-06-20T23:40:00"
2,GDS,2140.05,BRL,LATAM AIRLINES GROUP,2023-06-09,2023-06-20,2,"3711, 3264, 3216","BVB, BSB, GRU","2023-06-09T01:25:00, 2023-06-09T09:10:00, 2023-06-09T17:40:00","2023-06-20T11:15:00, 2023-06-20T13:45:00, 2023-06-20T23:40:00"
3,GDS,2140.05,BRL,LATAM AIRLINES GROUP,2023-06-09,2023-06-20,2,"3711, 3262, 3216","BVB, BSB, GRU","2023-06-09T01:25:00, 2023-06-09T06:35:00, 2023-06-09T17:40:00","2023-06-20T20:45:00, 2023-06-21T01:05:00, 2023-06-21T23:40:00"
4,GDS,2140.05,BRL,LATAM AIRLINES GROUP,2023-06-09,2023-06-20,2,"3711, 3264, 3216","BVB, BSB, GRU","2023-06-09T01:25:00, 2023-06-09T09:10:00, 2023-06-09T17:40:00","2023-06-20T20:45:00, 2023-06-21T01:05:00, 2023-06-21T23:40:00"
5,GDS,2140.05,BRL,LATAM AIRLINES GROUP,2023-06-09,2023-06-20,2,"3711, 3262, 3216","BVB, BSB, GRU","2023-06-09T01:25:00, 2023-06-09T06:35:00, 2023-06-09T17:40:00","2023-06-20T20:45:00, 2023-06-20T23:25:00, 2023-06-21T23:40:00"
6,GDS,2140.05,BRL,LATAM AIRLINES GROUP,2023-06-09,2023-06-20,2,"3711, 3264, 3216","BVB, BSB, GRU","2023-06-09T01:25:00, 2023-06-09T09:10:00, 2023-06-09T17:40:00","2023-06-20T20:45:00, 2023-06-20T23:25:00, 2023-06-21T23:40:00"
7,GDS,2140.05,BRL,LATAM AIRLINES GROUP,2023-06-09,2023-06-20,2,"3711, 3262, 3216","BVB, BSB, GRU","2023-06-09T01:25:00, 2023-06-09T06:35:00, 2023-06-09T17:40:00","2023-06-20T11:15:00, 2023-06-20T18:45:00, 2023-06-20T23:40:00"
8,GDS,2140.05,BRL,LATAM AIRLINES GROUP,2023-06-09,2023-06-20,2,"3711, 3264, 3216","BVB, BSB, GRU","2023-06-09T01:25:00, 2023-06-09T09:10:00, 2023-06-09T17:40:00","2023-06-20T11:15:00, 2023-06-20T18:45:00, 2023-06-20T23:40:00"
9,GDS,2140.05,BRL,LATAM AIRLINES GROUP,2023-06-09,2023-06-20,2,"3711, 3262, 3216","BVB, BSB, GRU","2023-06-09T01:25:00, 2023-06-09T06:35:00, 2023-06-09T17:40:00","2023-06-20T20:45:00, 2023-06-21T18:45:00, 2023-06-21T23:40:00"
10,GDS,2140.05,BRL,LATAM AIRLINES GROUP,2023-06-09,2023-06-20,2,"3711, 3264, 3216","BVB, BSB, GRU","2023-06-09T01:25:00, 2023-06-09T09:10:00, 2023-06-09T17:40:00","2023-06-20T20:45:00, 2023-06-21T18:45:00, 2023-06-21T23:40:00"
11,GDS,2140.05,BRL,LATAM AIRLINES GROUP,2023-06-09,2023-06-20,2,"3711, 3266, 3216","BVB, BSB, GRU","2023-06-09T01:25:00, 2023-06-09T14:35:00, 2023-06-09T17:40:00","2023-06-20T11:15:00, 2023-06-20T13:45:00, 2023-06-20T23:40:00"
12,GDS,2140.05,BRL,LATAM AIRLINES GROUP,2023-06-09,2023-06-20,2,"3711, 3266, 3216","BVB, BSB, GRU","2023-06-09T01:25:00, 2023-06-09T14:35:00, 2023-06-09T17:40:00","2023-06-20T20:45:00, 2023-06-21T01:05:00, 2023-06-21T23:40:00"
13,GDS,2140.05,BRL,LATAM AIRLINES GROUP,2023-06-09,2023-06-20,2,"3711, 3266, 3216","BVB, BSB, GRU","2023-06-09T01:25:00, 2023-06-09T14:35:00, 2023-06-09T17:40:00","2023-06-20T20:45:00, 2023-06-20T23:25:00, 2023-06-21T23:40:00"
14,GDS,2140.05,BRL,LATAM AIRLINES GROUP,2023-06-09,2023-06-20,2,"3711, 3266, 3216","BVB, BSB, GRU","2023-06-09T01:25:00, 2023-06-09T14:35:00, 2023-06-09T17:40:00","2023-06-20T11:15:00, 2023-06-20T18:45:00, 2023-06-20T23:40:00"
15,GDS,2140.05,BRL,LATAM AIRLINES GROUP,2023-06-09,2023-06-20,2,"3711, 3266, 3216","BVB, BSB, GRU","2023-06-09T01:25:00, 2023-06-09T14:35:00, 2023-06-09T17:40:00","2023-06-20T20:45:00, 2023-06-21T18:45:00, 2023-06-21T23:40:00"
